Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP0000001,Male,No,1,Graduate,No,5535,6127,89.0,360.0,1.0,Semiurban
LP0000002,Male,Yes,0,Graduate,No,15646,688,243.0,360.0,1.0,Semiurban
LP0000003,Male,Yes,3+,Graduate,No,7951,7184,385.0,360.0,1.0,Semiurban
LP0000004,Male,No,0,Graduate,No,9182,1398,366.0,180.0,1.0,Semiurban
LP0000005,Male,Yes,1,Graduate,No,14682,9813,431.0,360.0,1.0,Rural
LP0000006,Female,No,2,Graduate,No,5661,1909,150.0,360.0,1.0,Semiurban
LP0000007,Male,No,2,Graduate,No,13995,1844,182.0,360.0,1.0,Rural
LP0000008,Male,Yes,0,Graduate,No,14412,2043,35.0,360.0,0.0,Urban
LP0000009,Male,No,1,Graduate,No,1638,4957,164.0,,1.0,Semiurban
LP0000010,Male,Yes,0,Graduate,No,18559,3777,233.0,360.0,1.0,Rural
LP0000011,Female,Yes,0,Not Graduate,nan,12286,4740,156.0,360.0,1.0,Semiurban
LP0000012,Male,Yes,3+,Graduate,No,3336,4993,373.0,360.0,1.0,Urban
LP0000013,Female,Yes,3+,Not Graduate,No,12628,4797,318.0,360.0,0.0,Rural
LP0000014,Male,Yes,2,Not Graduate,No,10372,9092,514.0,360.0,1.0,Semiurban
LP0000015,Male,Yes,0,Graduate,No,12571,1726,417.0,360.0,1.0,Rural
LP0000016,Male,No,2,Graduate,No,5866,2010,40.0,240.0,1.0,Urban
LP0000017,Male,No,0,Graduate,No,3847,2270,156.0,180.0,1.0,Semiurban
LP0000018,Male,No,0,Graduate,No,18949,3401,243.0,360.0,1.0,Semiurban
LP0000019,Male,Yes,1,Graduate,No,15138,2162,163.0,360.0,1.0,Semiurban
LP0000020,Male,Yes,0,Not Graduate,No,22916,6348,359.0,360.0,1.0,Semiurban
LP0000021,Male,Yes,3+,Graduate,No,24289,2488,155.0,120.0,1.0,Urban
LP0000022,Male,Yes,0,Not Graduate,No,23724,5986,209.0,360.0,1.0,Rural
LP0000023,Female,Yes,0,Not Graduate,No,12735,2027,58.0,360.0,1.0,Semiurban
LP0000024,Male,No,1,Graduate,No,4826,4862,199.0,360.0,1.0,Urban
LP0000025,Male,Yes,2,Graduate,No,24108,6531,398.0,360.0,1.0,Rural
LP0000026,Male,Yes,0,Graduate,No,22390,957,444.0,360.0,1.0,Semiurban
LP0000027,Female,Yes,0,Graduate,No,17762,4934,428.0,180.0,1.0,Rural
LP0000028,Female,Yes,2,Graduate,No,10421,9108,275.0,360.0,,Rural
LP0000029,Male,Yes,0,Not Graduate,No,22735,4780,126.0,360.0,1.0,Semiurban
LP0000030,Male,Yes,0,Graduate,No,9549,3947,305.0,360.0,1.0,Urban
LP0000031,Male,No,1,Graduate,No,23547,8673,159.0,120.0,0.0,Rural
LP0000032,nan,Yes,0,Not Graduate,No,11085,6805,31.0,360.0,1.0,Urban
LP0000033,Female,No,nan,Graduate,No,20786,261,175.0,360.0,0.0,Urban
LP0000034,Female,Yes,1,Graduate,No,1550,6738,249.0,360.0,1.0,Semiurban
LP0000035,Male,Yes,nan,Graduate,No,23906,3967,437.0,360.0,1.0,Rural
LP0000036,Male,No,0,Graduate,No,20852,5018,56.0,360.0,1.0,Semiurban
LP0000037,Female,Yes,nan,Not Graduate,Yes,7866,1929,340.0,360.0,1.0,Semiurban
LP0000038,Male,Yes,0,Not Graduate,No,10209,9398,538.0,360.0,1.0,Urban
LP0000039,Male,No,0,Graduate,No,9655,8865,316.0,360.0,1.0,Semiurban
LP0000040,Male,Yes,0,Graduate,No,14394,2498,300.0,360.0,1.0,Urban
LP0000041,Female,Yes,0,Graduate,No,14168,5682,117.0,,1.0,Rural
LP0000042,Male,No,0,Graduate,No,19903,1133,484.0,180.0,1.0,Urban
LP0000043,Male,No,0,Graduate,Yes,24299,79,249.0,360.0,1.0,Semiurban
LP0000044,Male,Yes,0,Graduate,No,16269,5542,336.0,360.0,1.0,Rural
LP0000045,Male,Yes,0,Graduate,No,11621,7684,372.0,360.0,1.0,Urban
LP0000046,Male,No,1,Not Graduate,No,22208,4921,515.0,180.0,1.0,Semiurban
LP0000047,Male,Yes,0,Graduate,No,7180,6032,353.0,360.0,1.0,Urban
LP0000048,Male,Yes,2,Graduate,No,10966,4502,160.0,120.0,1.0,Urban
LP0000049,Male,Yes,1,Not Graduate,No,22373,7272,56.0,120.0,1.0,Semiurban
LP0000050,nan,No,3+,Graduate,No,24597,2109,429.0,360.0,1.0,Rural
LP0000051,Female,Yes,0,Graduate,No,23714,6150,508.0,360.0,1.0,Urban
LP0000052,Male,No,nan,Graduate,No,4229,6268,444.0,360.0,,Urban
LP0000053,Female,Yes,1,Not Graduate,No,11016,5651,67.0,360.0,1.0,Semiurban
LP0000054,Male,Yes,nan,Graduate,No,16574,5487,97.0,360.0,0.0,Rural
LP0000055,Male,No,0,Graduate,No,18484,5880,301.0,180.0,1.0,Urban
LP0000056,Male,No,2,Graduate,No,14391,6961,362.0,360.0,,Rural
LP0000057,Male,Yes,2,Not Graduate,No,3296,258,185.0,360.0,1.0,Semiurban
LP0000058,Male,Yes,0,Graduate,No,10004,3957,192.0,360.0,1.0,Semiurban
LP0000059,Male,No,1,Graduate,No,6699,5738,322.0,360.0,0.0,Urban
LP0000060,Male,No,2,Graduate,No,14840,4342,351.0,360.0,1.0,Urban
LP0000061,Male,Yes,1,Graduate,No,2162,4653,448.0,360.0,1.0,Semiurban
LP0000062,Male,Yes,0,Not Graduate,No,7277,5968,491.0,360.0,1.0,Rural
LP0000063,Male,No,2,Graduate,No,17269,7026,50.0,360.0,1.0,Rural
LP0000064,Male,No,0,Graduate,Yes,10186,3507,500.0,360.0,1.0,Rural
LP0000065,Male,No,2,Not Graduate,No,21859,7804,73.0,360.0,1.0,Urban
LP0000066,Male,Yes,0,Not Graduate,No,20931,1083,361.0,360.0,1.0,Urban
LP0000067,Male,Yes,0,Graduate,nan,3694,8130,293.0,360.0,1.0,Urban
LP0000068,Male,Yes,0,Graduate,nan,24256,8623,235.0,360.0,1.0,Urban
LP0000069,Male,Yes,1,Graduate,No,21879,9431,509.0,180.0,0.0,Semiurban
LP0000070,Female,Yes,nan,Not Graduate,nan,3231,9824,290.0,180.0,1.0,Semiurban
LP0000071,Female,Yes,0,Not Graduate,No,13325,810,,180.0,1.0,Urban
LP0000072,Female,Yes,0,Graduate,Yes,20785,6281,302.0,360.0,1.0,Rural
